Datetime,Event_Template,Search_string
2024-09-23 14:41:40,"2024-09-23 14:41:40 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 15 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:42,"2024-09-23 14:41:42 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 50 -> Predicted status: Average
",logPsm4Paramters
2024-09-23 14:41:45,"2024-09-23 14:41:45 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-23 14:41:46,"2024-09-23 14:41:46 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 18 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:47,"2024-09-23 14:41:47 - Log: 000:10:16.158 WARNING TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 20 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:48,"2024-09-23 14:41:48 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:50,"2024-09-23 14:41:50 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 50 -> Predicted status: Average
",logPsm4Paramters
2024-09-23 14:41:51,"2024-09-23 14:41:51 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:52,"2024-09-23 14:41:52 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 15 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:41:54,"2024-09-23 14:41:54 - Log: 000:10:16.158 ERROR TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  EPU Ambient Temperature (Celsius): 85.00 -> Predicted status: Good
",logPsm4Paramters
2024-09-23 14:42:10,"2024-09-23 14:42:10 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-23 14:42:11,"2024-09-23 14:42:11 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:42:12,"2024-09-23 14:42:12 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-23 14:42:16,2024-09-23 14:42:16 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  EPU Ambient Temperature (Celsius): 60.00 -> Predicted status: Bad,logPsm4Paramters
2024-09-16 12:30:12,"2024-09-16 12:30:12 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 70 -> Predicted status: Good
",logPsm4Paramters
2024-09-16 12:30:13,"2024-09-16 12:30:13 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-16 12:30:14,"2024-09-16 12:30:14 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-16 12:30:16,"2024-09-16 12:30:16 - Log: 000:10:16.158 ERROR TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-16 12:30:22,"2024-09-16 12:30:22 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 70 -> Predicted status: Good
",logPsm4Paramters
